ATC_PREFIX,SECTION_NO,SECTION_TITLE
A02BC,7.1,第7章 7.1. 消化性潰瘍用藥 (質子幫浦抑制劑 PPIs)
A02BA,7.1,第7章 7.1. 消化性潰瘍用藥 (H2受體阻斷劑)
A02BX,7.1,第7章 7.1. 消化性潰瘍用藥 (其他潰瘍用藥)
A07EC,7.2,第7章 7.2. 腸道發炎用藥 (5-ASA類/Sulfasalazine)
A10BA,1.1,第1章 1.1. 口服降血糖藥物 (Biguanides/Metformin)
A10BB,1.1,第1章 1.1. 口服降血糖藥物 (Sulfonamides/SU類)
A10BH,1.1,第1章 1.1. 口服降血糖藥物 (DPP-4 抑制劑)
A10BK,1.1,第1章 1.1. 口服降血糖藥物 (SGLT2 抑制劑)
A10BJ,1.2,第1章 1.2. 胰高血糖素樣勝肽-1 受體促效劑 (GLP-1 RAs)
A10A,1.3,第1章 1.3. 胰島素 (Insulins)
B01AC,2.1,第2章 2.1. 抗血小板劑 (Aspirin/Clopidogrel/Ticagrelor)
B01AF,2.2,第2章 2.2. 口服抗凝血劑 (DOACs/NOACs)
B01AA,2.2,第2章 2.2. 傳統口服抗凝血劑 (Warfarin)
C09AA,2.3,第2章 2.3. 血管張力素轉化酶抑制劑 (ACEI)
C09CA,2.4,第2章 2.4. 血管張力素受體阻斷劑 (ARB)
C09DX,2.4,第2章 2.4. ARB 複方與 Sacubitril/Valsartan (ARNI)
C10AA,2.6,第2章 2.6. HMG-CoA 還元酶抑制劑 (Statins 降血脂藥)
C10AX,2.6,第2章 2.6. 其他降血脂藥物 (Ezetimibe/PCSK9)
J01CR,10.1,第10章 10.1. 青黴素類廣效抗生素
J01MA,10.2,第10章 10.2. 氟喹諾酮類抗生素 (Fluoroquinolones)
J01DD,10.3,第10章 10.3. 第三代頭孢子菌素 (Cephalosporins)
J01DH,10.4,第10章 10.4. 碳青黴烯類抗生素 (Carbapenems)
J02AC,10.5,第10章 10.5. 三唑類抗真菌劑 (Fluconazole/Voriconazole)
J05AR,10.6,第10章 10.6. 抗病毒藥物 (HIV/HBV/HCV 用藥)
N02BA,1.4,第1章 1.4. 水楊酸及其衍生解熱鎮痛劑
N02BE,1.4,第1章 1.4. 乙醯氨基酚類解熱鎮痛劑 (Acetaminophen)
N02AA,1.5,第1章 1.5. 強效鎮痛劑 (Morphine/Oxycodone/Fentanyl)
N03AX,1.6,第1章 1.6. 新型抗癲癇藥物 (Levetiracetam/Lamotrigine)
N05AL,1.7,第1章 1.7. 思覺失調症用藥 (Antipsychotics)
N06AB,1.8,第1章 1.8. 選擇性血清素回收抑制劑 (SSRIs 抗憂鬱藥)
R03AC,6.1,第6章 6.1. 吸入型支氣管擴張劑 (SABA/LABA)
R03AK,6.2,第6章 6.2. 複方吸入型類固醇與支氣管擴張劑 (ICS+LABA)
R03AL,6.2,第6章 6.2. 三合一吸入型喘藥 (ICS+LABA+LAMA)
L01XC,9.1,第9章 9.1. 單株抗體標靶抗癌藥物 (Monoclonal antibodies)
L01XE,9.2,第9章 9.2. 小分子酪胺酸轉化酶抑制劑標靶藥 (TKIs)
L02BX,9.3,第9章 9.3. 攝護腺癌與乳癌激素治療藥物
