健保代碼,藥品名稱,成分名稱,ATC_CODE
A045612100,Nexium 40mg,Esomeprazole,A02BC05
A042314100,Losec 20mg,Omeprazole,A02BC01
A041235100,Takepron 30mg,Lansoprazole,A02BC03
A043516100,Pantoloc 40mg,Pantoprazole,A02BC02
A044127100,Pariet 20mg,Rabeprazole,A02BC04
A045128100,Dexilant 60mg,Dexlansoprazole,A02BC06
A046129100,Takecab 20mg,Vonoprazan,A02BX15
A023456100,Gaster 20mg,Famotidine,A02BA03
A012345100,Zantac 150mg,Ranitidine,A02BA02
A022345100,Tagamet 200mg,Cimetidine,A02BA01
A024567100,Axid 150mg,Nizatidine,A02BA04
A025678100,Mucosta 100mg,Rebamipide,A02BX
A026789100,Selbex 50mg,Teprenone,A02BX
A027890100,Ulsanic 1g,Sucralfate,A02BX02
A028901100,Cytotec 200mcg,Misoprostol,A02BB01
A029012100,Stabin 50mg,Gefarnate,A02BX
A020123100,Blon S,Cetraxate,A02BX
A034567100,Stilnox 10mg,Zolpidem,N05CF02
A035678100,Eurodin 2mg,Estazolam,N05CD04
A036789100,Rivotril 0.5mg,Clonazepam,N03AE01
A037890100,Ativan 1mg,Lorazepam,N05BA06
A038901100,Xanax 0.5mg,Alprazolam,N05BA12
A039012100,Valium 10mg,Diazepam,N05BA01
A030123100,Halcion 0.25mg,Triazolam,N05CD05
A031234100,Lendormin 0.25mg,Brotizolam,N05CF01
A032345100,Imovane 7.5mg,Zopiclone,N05CF01
A033456100,Dormicum 7.5mg,Midazolam,N05CD08
A034567200,Belsomra 15mg,Suvorexant,N05CH02
A035678200,Dayvigo 5mg,Lemborexant,N05CH03
A036789200,Rozerem 8mg,Ramelteon,N05CH01
A037890200,Serenace 5mg,Haloperidol,N05AD01
A038901200,Seroquel 25mg,Quetiapine,N05AH04
A039012200,Zyprexa 10mg,Olanzapine,N05AH03
A030123200,Risperdal 1mg,Risperidone,N05AX08
A031234200,Abilify 5mg,Aripiprazole,N05AX12
A032345200,Clozaril 25mg,Clozapine,N05AH02
A033456200,Dogmatyl 50mg,Sulpiride,N05AL01
A034567300,Prozac 20mg,Fluoxetine,N06AB03
A035678300,Zoloft 50mg,Sertraline,N06AB06
A036789300,Paxil 20mg,Paroxetine,N06AB05
A037890300,Lexapro 10mg,Escitalopram,N06AB10
A038901300,Cipramram 20mg,Citalopram,N06AB04
A039012300,Lustral 50mg,Sertraline,N06AB06
A030123300,Efexor XR 75mg,Venlafaxine,N06AX16
A031234300,Cymbalta 30mg,Duloxetine,N06AX21
A032345300,Remeron 30mg,Mirtazapine,N06AX11
A033456300,Wellbutrin XL 150mg,Bupropion,N06AX12
A034567400,Trintellix 10mg,Vortioxetine,N06AX26
A035678400,Valdoxan 25mg,Agomelatine,N06AX22
A036789400,Tofranil 25mg,Imipramine,N06AA02
A037890400,Tryptanol 25mg,Amitriptyline,N06AA09
A038901400,Depakine 500mg,Valproate,N03AG01
A039012400,Tegretol 200mg,Carbamazepine,N03AF01
A030123400,Dilantin 100mg,Phenytoin,N03AB02
A031234400,Keppra 500mg,Levetiracetam,N03AX14
A032345400,Lamictal 50mg,Lamotrigine,N03AX09
A033456400,Topamax 50mg,Topiramate,N03AX11
A034567500,Lyrica 75mg,Pregabalin,N03AX16
A035678500,Neurontin 300mg,Gabapentin,N03AX12
A036789500,Vimpat 100mg,Lacosamide,N03AX18
A037890500,Fycompa 4mg,Perampanel,N03AX22
A038901500,Madopar 250mg,Levodopa Benserazide,N04BA02
A039012500,Sinemet 250mg,Levodopa Carbidopa,N04BA02
A030123500,Mirapex 0.25mg,Pramipexole,N04BC05
A031234500,Requip 1mg,Ropinirole,N04BC04
A032345500,Comtan 200mg,Entacapone,N04BX02
A033456500,Stalevo,Levodopa Carbidopa Entacapone,N04BA03
A034567600,Azilect 1mg,Rasagiline,N04BD02
A035678600,Aricept 5mg,Donepezil,N06DA02
A036789600,Exelon 1.5mg,Rivastigmine,N06DA03
A037890600,Ebixa 10mg,Memantine,N06DX01
A038901600,Reminyl 8mg,Galantamine,N06DA04
A051234100,Celebrex 200mg,Celecoxib,M01AH01
A052345100,Voren 50mg,Diclofenac,M01AB05
A053456100,Ponstan 500mg,Mefenamic Acid,M01AG01
A054567100,Arcoxia 60mg,Etoricoxib,M01AH05
A055678100,Mobic 15mg,Meloxicam,M01AC06
A056789100,Naprosyn 250mg,Naproxen,M01AE02
A057890100,Brufen 400mg,Ibuprofen,M01AE01
A058901100,Feldene 20mg,Piroxicam,M01AC01
A059012100,Indocin 25mg,Indomethacin,M01AB01
A050123100,Cataflam 50mg,Diclofenac Potassium,M01AB05
A051234200,Tilcotil 20mg,Tenoxicam,M01AC02
A052345200,Synflex 275mg,Naproxen Sodium,M01AE02
A053456200,Surgam 300mg,Tiaprofenic Acid,M01AE11
A054567200,Ketanest,Ketoprofen,M01AE03
A055678200,Ultram 50mg,Tramadol,N02AJ13
A056789200,Ultracet,Tramadol Acetaminophen,N02AJ13
A057890200,Ultracet Semi,Tramadol Acetaminophen,N02AJ13
A058901200,Panadol 500mg,Acetaminophen,N02BE01
A059012200,Scapan 10mg,Hyoscine,A03BB01
A050123200,Buscopan 10mg,Hyoscine,A03BB01
A051234300,Miolax 50mg,Eperisone,M03BX09
A052345300,Sirdalud 2mg,Tizanidine,M03BX02
A053456300,Lioresal 10mg,Baclofen,M03BX01
A054567300,Solaxin 200mg,Chlorzoxazone,M03BB01
A055678300,Muscalm 50mg,Tolperisone,M03BX04
A056789300,Colchicine 0.5mg,Colchicine,M04AC01
A057890300,Zyloric 100mg,Allopurinol,M04AA01
A058901300,Feburic 80mg,Febuxostat,M04AA03
A059012300,Benzbromarone 50mg,Benzbromarone,M04AB03
A061234100,Amoxil 500mg,Amoxicillin,J01CA04
A062345100,Keflex 500mg,Cephalexin,J01DB01
A063456100,Cravat 500mg,Levofloxacin,J01MA12
A064567100,Augmentin 1g,Amoxicillin Clavulanate,J01CR02
A065678100,Unasyn 375mg,Sultamicillin,J01CR03
A066789100,Zinnat 250mg,Cefuroxime,J01DC02
A067890100,Cefspan 100mg,Cefixime,J01DD08
A068901100,Ceptik 100mg,Cefcapene,J01DD17
A069012100,Meiact 100mg,Cefditoren,J01DD16
A060123100,Ciproxin 500mg,Ciprofloxacin,J01MA02
A061234200,Avelox 400mg,Moxifloxacin,J01MA14
A062345200,Bactrim,Sulfamethoxazole Trimethoprim,J01EE01
A063456200,Klaricid 500mg,Clarithromycin,J01FA09
A064567200,Zithromax 250mg,Azithromycin,J01FA10
A065678200,Erythrocin 250mg,Erythromycin,J01FA01
A066789200,Vibramycin 100mg,Doxycycline,J01AA02
A067890200,Minocin 100mg,Minocycline,J01AA08
A068901200,Dalacin C 150mg,Clindamycin,J01FF01
A069012200,Flagyl 250mg,Metronidazole,J01XD01
A060123200,Vancomycin 500mg,Vancomycin,J01XA01
A061234300,Tazocin 4.5g,Piperacillin Tazobactam,J01CR05
A062345300,Tienam 500mg,Imipenem Cilastatin,J01DH51
A063456300,Meropen 500mg,Meropenem,J01DH02
A064567300,Invanz 1g,Ertapenem,J01DH03
A065678300,Finibax 250mg,Doripenem,J01DH04
A066789300,Rocephin 1g,Ceftriaxone,J01DD04
A067890300,Claforan 1g,Cefotaxime,J01DD01
A068901300,Fortum 1g,Ceftazidime,J01DD02
A069012300,Maxipime 1g,Cefepime,J01DE01
A060123300,Zavicefta 2.5g,Ceftazidime Avibactam,J01DD52
A061234400,Zerbaxa 1.5g,Ceftolozane Tazobactam,J01DI54
A062345400,Zyvox 600mg,Linezolid,J01XX08
A063456400,Cubicin 500mg,Daptomycin,J01XX09
A064567400,Tygacil 50mg,Tigecycline,J01AA12
A065678400,Colistin 2MU,Colistimethate,J01XB01
A066789400,Ambisome 50mg,Amphotericin B,J02AA01
A067890400,Diflucan 50mg,Fluconazole,J02AC01
A068901400,Vfend 200mg,Voriconazole,J02AC03
A069012400,Cancidas 50mg,Caspofungin,J02AX04
A060123400,Ecalta 100mg,Anidulafungin,J02AX06
A061234500,Mycamine 50mg,Micafungin,J02AX05
A062345500,Tamiflu 75mg,Oseltamivir,J05AH02
A063456500,Relenza 5mg,Zanamivir,J05AH01
A064567500,Xofluza 20mg,Baloxavir Marboxil,J05AX25
A065678500,Paxlovid,Nirmatrelvir Ritonavir,J05AR
A066789500,Lagevrio 200mg,Molnupiravir,J05AB18
A067890500,Veklury 100mg,Remdesivir,J05AB16
A071234100,Amaryl 2mg,Glimepiride,A10BB12
A072345100,Glucophage 500mg,Metformin,A10BA02
A073456100,Januvia 100mg,Sitagliptin,A10BH01
A074567100,Galvus 50mg,Vildagliptin,A10BH02
A075678100,Trajenta 5mg,Linagliptin,A10BH05
A076789100,Onglyza 5mg,Saxagliptin,A10BH03
A077890100,Forxiga 10mg,Dapagliflozin,A10BK01
A078901100,Jardiance 10mg,Empagliflozin,A10BK03
A079012100,Invokana 100mg,Canagliflozin,A10BK02
A070123100,Steglatro 5mg,Ertugliflozin,A10BK04
A071234200,Actos 30mg,Pioglitazone,A10BG03
A072345200,Novonorm 1mg,Repaglinide,A10BX02
A073456200,Fasting 30mg,Nateglinide,A10BX03
A074567200,Glucobay 50mg,Acarbose,A10BF01
A075678200,Daonil 5mg,Glibenclamide,A10BB01
A076789200,Gliclazide 80mg,Gliclazide,A10BB09
A077890200,Janumet 50/500mg,Sitagliptin Metformin,A10BD07
A078901200,Galvus Met 50/500mg,Vildagliptin Metformin,A10BD08
A079012200,Trajenta Duo 2.5/500mg,Linagliptin Metformin,A10BD11
A070123200,Xigduo XR 10/1000mg,Dapagliflozin Metformin,A10BD15
A071234300,Jardiance Duo 5/500mg,Empagliflozin Metformin,A10BD20
A072345300,Victoza 6mg/ml,Liraglutide,A10BJ02
A073456300,Trulicity 1.5mg,Dulaglutide,A10BJ05
A074567300,Ozempic 1mg/ml,Semaglutide,A10BJ06
A075678300,Rybelsus 7mg,Semaglutide Oral,A10BJ06
